,Unnamed: 0,Name,Event Date,Event Type,COSPAR ID,Catalogued Objects,Objects on Orbit,Objects > 1 cm,Objects > 10 cm,Last Update,Unnamed: 10
94,,Yaogan Weixing 1,04 Feb 2010,Unknown,2006-015A,7.0,1.0,665.0,18.0,24 Oct 2018,
95,,Briz-M auxiliary tank (DTB),21 Jun 2010,Aerodynamics,2009-042C,88.0,,3041.0,214.0,24 Oct 2018,
96,,Briz-M (Proton-M/Briz-M),13 Oct 2010,Propulsion,2008-011B,115.0,114.0,11123.0,288.0,24 Oct 2018,
97,,H-18 (Long March (CZ) 3C),01 Nov 2010,Unknown,2010-057B,56.0,55.0,3116.0,137.0,24 Oct 2018,
98,,NOAA 11,24 Nov 2010,Electrical,1988-089A,2.0,2.0,231.0,6.0,24 Oct 2018,
99,,H-IIA 2024 Adapter (4/4D-LC),23 Dec 2010,Aerodynamics,2007-005E,3.0,,,,24 Oct 2018,
100,,Proton-K/DM-2 ullage motor (SOZ),18 Dec 1992,Propulsion,1989-004E,,,,,04 Dec 2017,
101,,H-18 (Long March (CZ) 3C),26 Feb 2012,Propulsion,2012-008B,37.0,37.0,3161.0,91.0,24 Oct 2018,
102,,Blits,22 Jan 2013,Anomalous,2009-049G,1.0,1.0,,,04 Dec 2017,
103,,Jason,16 Mar 2002,Collision,2001-055A,2.0,2.0,,,04 Dec 2017,
104,,Cosmos-192,30 Aug 2009,Anomalous,1967-116A,3.0,,,,04 Dec 2017,
105,,ISIS 1,24 May 2007,Anomalous,1969-009A,2.0,2.0,,,04 Dec 2017,
106,,H-II LE-5B (H-IIA 202),25 Jul 2007,Unknown,2006-037B,9.0,,847.0,22.0,24 Oct 2018,
107,,UARS,10 Nov 2007,Anomalous,1991-063B,5.0,,,,04 Dec 2017,
108,,Cosmos-1867 (NPP),01 Apr 2014,Collision,1987-060A,35.0,35.0,,,04 Dec 2017,
109,,Delta II second stage (Delta 7920),30 Apr 2014,Collision,1999-008D,7.0,,,,04 Dec 2017,
110,,H-18 (Long March (CZ) 3A),02 Feb 2007,Propulsion,2007-003B,,,,,04 Dec 2017,
111,,Proton-K/DM-2 ullage motor (SOZ),29 Dec 1991,Propulsion,1985-118L,16.0,9.0,1568.0,41.0,24 Oct 2018,
112,,H10 (Ariane 2),01 Jan 2001,Propulsion,1989-006B,86.0,85.0,3045.0,210.0,24 Oct 2018,
113,,Zi Yuan 1,18 Feb 2007,Unknown,1999-057A,87.0,52.0,9548.0,247.0,24 Oct 2018,
114,,Proton-K/DM-2M ullage motor (SOZ),14 Feb 2007,Propulsion,1997-070F,6.0,2.0,564.0,15.0,24 Oct 2018,
115,,Briz-M (Proton-M/Briz-M),19 Feb 2007,Propulsion,2006-006B,101.0,87.0,9500.0,246.0,24 Oct 2018,
116,,Hai Yang 2A,06 Jul 2014,Anomalous,2011-043A,7.0,4.0,,,04 Dec 2017,
117,,Proton-M/DM-2 ullage motor (SOZ),09 Jul 2014,Propulsion,2010-007G,23.0,23.0,2338.0,61.0,24 Oct 2018,
118,,Proton-K/DM-2 ullage motor (SOZ),13 Aug 2014,Propulsion,2007-052F,25.0,24.0,2652.0,69.0,24 Oct 2018,
119,,Cosmos-539,21 Apr 2002,Collision,1972-102A,1.0,,,,04 Dec 2017,
120,,NOAA 7,01 Aug 1997,Collision,1981-059A,8.0,3.0,,,04 Dec 2017,
121,,Cosmos-2428,10 May 2014,Collision,2007-029A,9.0,1.0,,,04 Dec 2017,
122,,Proton-K/DM-2 ullage motor (SOZ),08 May 2014,Propulsion,1994-076G,1.0,1.0,188.0,5.0,24 Oct 2018,
123,,Proton-K/DM-2 ullage motor (SOZ),12 Jan 1993,Propulsion,1989-052F,1.0,,188.0,5.0,24 Oct 2018,
124,,Proton-M/DM-2 ullage motor (SOZ),08 May 2014,Propulsion,2008-046H,10.0,10.0,,,04 Dec 2017,
125,,Cosmos-862 fragmentation debris,15 May 2014,Aerodynamics,1976-105F,12.0,4.0,,,04 Dec 2017,
126,,Transtage 17 (Titan IIIC),04 Jun 2014,Propulsion,1969-013B,18.0,18.0,28586.0,736.0,24 Oct 2018,
127,,Delta IV DCSS 5 (Delta 4H),11 Nov 2007,Unknown,2007-054B,31.0,31.0,,,24 Oct 2018,
128,,Cosmos-2105,16 Jan 2008,Aerodynamics,1990-099A,,,,,04 Dec 2017,
129,,H-18 (Long March (CZ) 3A),27 Jan 2008,Unknown,2007-051B,,,,,04 Dec 2017,
130,,Blok-ML (Molniya-M Blok-ML),17 Feb 2008,Anomalous,1994-051D,,,,,04 Dec 2017,
