,Unnamed: 0_x,Unnamed: 0.1,Name_x,Event Date,Event Type,COSPAR ID,Catalogued Objects,Objects on Orbit,Objects > 1 cm,Objects > 10 cm,Last Update,Unnamed: 10,Unnamed: 0_y,#JCAT,Satcat,Piece,Type,Name_y,LDate,SDate,Primary,DDate,Status,Owner,State,Manufacturer,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,LYear,DYear,OBJECT_ID,NORAD_CAT_ID,COUNTRY,RCS_SIZE,large_event
325,325,,Proton-K/DM-2 ullage motor (SOZ),08 Nov 1994,Propulsion,1992-047H,36.0,13.0,3163.0,89.0,24 Oct 2018,,22045.0,S22067,22067.0,1992-047H,C  M        ,SOZ,1992 Jul 30,1992 Jul 29 0623?,Earth,2000 Dec 19,R,RVSNR,RU,NPOE,120.0, ,60.0,?,0.0, ,1.1, ,0.5, ,1.1, ,Cyl,1992 Aug 31,402.0, ,   19131, ,64.82, ,HEO,1992.0,2000.0,1992-047H,22067.0,CIS,MEDIUM,1.0
326,326,,DELTA P (Delta 1410),11 Mar 1978,Propulsion,1975-027B,3.0,2.0,348.0,9.0,24 Oct 2018,,7728.0,S07735,7735.0,1975-027B,R2          ,Delta 109,1975 Apr  9,1975 Apr 10 0007,Earth,2100,O,GSFC,US,MDAC,845.0, ,845.0, ,845.0, ,6.0, ,1.4, ,6.0, ,Cyl + Skirt + Nozzle,1975 May 10,837.0, ,     843, ,115.0, ,LEO/R,1975.0,2100.0,1975-027B,7735.0,US,LARGE,0.0
327,327,,Seasat 1,06 Nov 1997,Anomalous,1978-064A,16.0,,,,04 Dec 2017,,10958.0,S10967,10967.0,1978-064A,P           ,Seasat 1,1978 Jun 27,1978 Jun 27,Earth,2100,O,NASA/JPL,US,LMSC,1290.0,?,1290.0,?,2290.0, ,12.0, ,1.5, ,12.0, ,Cyl + 3 Pan,1978 Aug  4,775.0, ,     797, ,108.02, ,LEO/R,1978.0,2100.0,1978-064A,10967.0,US,LARGE,1.0
328,328,,L-14B (YF40B) (Long March (CZ) 4B),23 Mar 2015,Unknown,2013-057B,4.0,4.0,,,04 Dec 2017,,39337.0,S39359,39359.0,2013-057B,R3          ,CZ-4B Y25 Stage 3,2013 Oct 25,2013 Oct 25 0402?,Earth,2100,O,CNSA,CN,SAST,1000.0,?,1000.0,?,1000.0,?,7.5, ,2.9, ,7.5, ,Cyl,2013 Oct 27,475.0, ,603, ,75.02, ,LLEO/I,2013.0,2100.0,2013-057B,39359.0,PRC,LARGE,0.0
329,329,,Meteor 1-10,03 May 1976,Anomalous,1971-120A,17.0,,,,04 Dec 2017,,5728.0,S05731,5731.0,1971-120A,P           ,Meteor,1971 Dec 29,1971 Dec 29 1100?,Earth,2100,O,GUKOSR/GMS,SU,VNIEM,1280.0, ,1280.0, ,1280.0, ,4.5, ,1.4, ,4.5, ,Cyl + 2 Pan,1972 Jan 31,840.0, ,     928, ,81.25, ,LEO/I,1971.0,2100.0,1971-120A,5731.0,CIS,LARGE,1.0
330,330,,Seasat 1,19 Jan 2004,Anomalous,1978-064A,16.0,,,,04 Dec 2017,,10958.0,S10967,10967.0,1978-064A,P           ,Seasat 1,1978 Jun 27,1978 Jun 27,Earth,2100,O,NASA/JPL,US,LMSC,1290.0,?,1290.0,?,2290.0, ,12.0, ,1.5, ,12.0, ,Cyl + 3 Pan,1978 Aug  4,775.0, ,     797, ,108.02, ,LEO/R,1978.0,2100.0,1978-064A,10967.0,US,LARGE,1.0
331,331,,CENTAUR (Atlas IIAS),23 Feb 1998,Unknown,1997-036B,1.0,,,,04 Dec 2017,,24859.0,S24881,24881.0,1997-036B,R2          ,Centaur AC-133,1997 Jul 28,1997 Jul 28 0124?,Earth,1998 Jul 12,R,LMA,US,LMA/DENV,2095.0, ,2095.0, ,2095.0, ,10.1, ,3.1, ,10.1, ,Cyl,1997 Jul 31,223.0, ,   89048, ,25.63, ,VHEO,1997.0,1998.0,1997-036B,24881.0,US,LARGE,0.0
332,332,,L-14B (YF40B) (Long March (CZ) 4B),15 Feb 2002,Unknown,2002-024C,7.0,5.0,,,04 Dec 2017,,27410.0,S27432,27432.0,2002-024C,R3          ,CZ-4B Y5 Stage 3,2002 May 15,2002 May 15 0200?,Earth,2100,O,CNSA,CN,SAST,17000.0,?,1000.0,?,1000.0,?,6.2, ,2.9, ,6.2, ,Cyl,2002 May 16,811.0, ,     883, ,98.71, ,LEO/S,2002.0,2100.0,2002-024C,27432.0,PRC,LARGE,0.0
333,333,,OPS 0856 (RTS-1 2),15 Mar 1991,Anomalous,1966-077A,25.0,25.0,,,04 Dec 2017,,2402.0,S02403,2403.0,1966-077A,P A         ,FTV 1352,1966 Aug 19,1966 Aug 19 1934,Earth,2100,AO,USAF,US,LMSC,1000.0,?,1000.0,?,2000.0,?,3.0, ,1.5, ,3.0, ,Cone + Cyl,1966 Nov  5,3676.0, ,    3701, ,90.11, ,MEO,1966.0,2100.0,1966-077A,2403.0,US,LARGE,1.0
334,334,,H10 (Ariane 40 H10),04 Jan 1994,Propulsion,1993-061H,2.0,1.0,223.0,6.0,24 Oct 2018,,22808.0,S22830,22830.0,1993-061H,R3          ,Ariane H10 V59,1993 Sep 26,1993 Sep 26 0201,Earth,2100,O,AE,F,AELM,2000.0, ,1820.0, ,1875.0, ,11.8, ,2.6, ,11.8, ,Cyl,1993 Nov  1,789.0, ,     806, ,98.58, ,LEO/S,1993.0,2100.0,1993-061H,22830.0,FR,LARGE,0.0
